Time Quat_X Quat_Y Quat_Z Quat_W Pos_X Pos_Y Pos_Z
1.366667 0.163409 -0.322668 0.690523 -0.626387 -228.474899 1165.105103 34.891056
1.375000 0.163398 -0.323107 0.690452 -0.626242 -228.448181 1165.076538 34.887173
1.383333 0.163392 -0.322817 0.690486 -0.626356 -228.467941 1165.099609 34.888786
1.391667 0.163420 -0.322727 0.690499 -0.626380 -228.473938 1165.102539 34.890793
1.400000 0.163435 -0.323128 0.690433 -0.626243 -228.447144 1165.073120 34.887676
1.408333 0.163409 -0.323245 0.690424 -0.626199 -228.440262 1165.064331 34.888649
1.416667 0.163414 -0.322845 0.690484 -0.626338 -228.464676 1165.091553 34.890774
1.425000 0.163403 -0.323151 0.690444 -0.626227 -228.443222 1165.073853 34.887882
1.433333 0.163422 -0.323237 0.690419 -0.626205 -228.438477 1165.066284 34.887245
1.441667 0.163402 -0.323273 0.690420 -0.626191 -228.440765 1165.064819 34.886421
1.450000 0.163444 -0.322829 0.690467 -0.626356 -228.462128 1165.093750 34.889397
1.458333 0.163427 -0.323124 0.690423 -0.626258 -228.445084 1165.071289 34.888729
1.466667 0.163416 -0.323232 0.690412 -0.626217 -228.441116 1165.064819 34.886810
1.475000 0.163428 -0.322818 0.690482 -0.626351 -228.462830 1165.094360 34.889278
1.483333 0.163403 -0.323145 0.690444 -0.626230 -228.446091 1165.073608 34.886299
1.491667 0.163394 -0.323236 0.690425 -0.626206 -228.443146 1165.065918 34.885822
1.500000 0.163423 -0.322809 0.690479 -0.626359 -228.463623 1165.094360 34.887897
1.508333 0.163440 -0.322686 0.690494 -0.626402 -228.468903 1165.105103 34.888504
1.516667 0.163393 -0.323101 0.690450 -0.626249 -228.449875 1165.077393 34.885311
1.525000 0.163387 -0.323208 0.690446 -0.626199 -228.443237 1165.067017 34.885540
1.533333 0.163407 -0.324180 0.690479 -0.625655 -228.357971 1165.027832 34.871399
1.541667 0.163399 -0.323538 0.690433 -0.626041 -228.418167 1165.054932 34.880184
1.550000 0.163379 -0.323299 0.690429 -0.626174 -228.437653 1165.065796 34.884602
1.558333 0.163422 -0.322803 0.690494 -0.626346 -228.467560 1165.098755 34.889549
1.566667 0.163427 -0.322682 0.690527 -0.626371 -228.479050 1165.104126 34.891621
1.575000 0.163423 -0.322661 0.690505 -0.626407 -228.477890 1165.106689 34.890450
1.583333 0.163425 -0.323098 0.690446 -0.626246 -228.448685 1165.074341 34.888268
1.591667 0.163415 -0.323227 0.690419 -0.626212 -228.440735 1165.064331 34.888016
1.600000 0.163429 -0.322819 0.690479 -0.626352 -228.468002 1165.091064 34.893028
1.608333 0.163442 -0.322716 0.690490 -0.626390 -228.472855 1165.100708 34.891518
