Format Version,1.23,Take Name,setup1_cold_train,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-01-29 11.56.26.170 AM,Total Frames in Take,17289,Total Exported Frames,17289,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,camera,camera,camera,camera,camera,camera,camera
,ID,"AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
89,0.741667,-0.329632,-0.448119,0.487268,-0.673129,65.384468,1238.907227,-448.144165
90,0.750000,-0.329618,-0.448111,0.487268,-0.673141,65.385269,1238.905518,-448.143890
91,0.758333,-0.329615,-0.448124,0.487274,-0.673129,65.383980,1238.908447,-448.141632
92,0.766667,-0.329635,-0.448155,0.487259,-0.673110,65.383186,1238.906494,-448.139709
93,0.775000,-0.329630,-0.448158,0.487272,-0.673100,65.383751,1238.907104,-448.138641
94,0.783333,-0.329630,-0.448133,0.487275,-0.673115,65.382820,1238.905884,-448.139587
95,0.791667,-0.329613,-0.448143,0.487275,-0.673117,65.384026,1238.905884,-448.141235
96,0.800000,-0.329617,-0.448150,0.487275,-0.673110,65.384811,1238.909058,-448.140533
97,0.808333,-0.329607,-0.448159,0.487262,-0.673118,65.386536,1238.906128,-448.139496
98,0.816667,-0.329599,-0.448152,0.487271,-0.673121,65.384651,1238.903809,-448.138733
99,0.825000,-0.329611,-0.448147,0.487269,-0.673120,65.386543,1238.902954,-448.140869
100,0.833333,-0.329618,-0.448140,0.487262,-0.673126,65.386650,1238.903320,-448.140839
101,0.841667,-0.329616,-0.448110,0.487289,-0.673127,65.389709,1238.906494,-448.141266
102,0.850000,-0.329594,-0.448135,0.487274,-0.673132,65.387894,1238.903687,-448.141632
103,0.858333,-0.329594,-0.448127,0.487278,-0.673135,65.387291,1238.904663,-448.142426
104,0.866667,-0.329595,-0.448139,0.487275,-0.673128,65.389816,1238.908691,-448.140717
105,0.875000,-0.329612,-0.448131,0.487277,-0.673124,65.389748,1238.909546,-448.144012
106,0.883333,-0.329544,-0.448124,0.487281,-0.673159,65.397072,1238.918945,-448.144653
107,0.891667,-0.329600,-0.448146,0.487270,-0.673124,65.388367,1238.913330,-448.146667
108,0.900000,-0.329586,-0.448142,0.487279,-0.673128,65.387520,1238.914307,-448.145935
109,0.908333,-0.329833,-0.448458,0.487612,-0.672555,65.292610,1238.924194,-448.154480
110,0.916667,-0.329857,-0.448452,0.487599,-0.672557,65.290573,1238.924927,-448.157745
111,0.925000,-0.329851,-0.448481,0.487580,-0.672553,65.295906,1238.927856,-448.159973
112,0.933333,-0.329584,-0.448146,0.487285,-0.673122,65.390724,1238.917969,-448.151917
113,0.941667,-0.329852,-0.448479,0.487582,-0.672553,65.291023,1238.927490,-448.160706
114,0.950000,-0.329594,-0.448145,0.487275,-0.673125,65.383118,1238.912720,-448.155518
115,0.958333,-0.329832,-0.448461,0.487602,-0.672561,65.292732,1238.924927,-448.162384
116,0.966667,-0.329849,-0.448478,0.487601,-0.672542,65.290794,1238.925781,-448.160889
117,0.975000,-0.329597,-0.448153,0.487271,-0.673120,65.388687,1238.916626,-448.152557
118,0.983333,-0.329573,-0.448140,0.487283,-0.673132,65.388115,1238.913452,-448.152618
119,0.991667,-0.329598,-0.448153,0.487272,-0.673120,65.387283,1238.914551,-448.152863
120,1.000000,-0.329835,-0.448463,0.487587,-0.672569,65.291046,1238.924683,-448.157349
121,1.008333,-0.329576,-0.448157,0.487269,-0.673130,65.389114,1238.912109,-448.149292
122,1.016667,-0.329596,-0.448140,0.487269,-0.673131,65.386520,1238.911377,-448.149719
123,1.025000,-0.329601,-0.448136,0.487282,-0.673123,65.389008,1238.916626,-448.148376
124,1.033333,-0.329608,-0.448152,0.487278,-0.673111,65.386536,1238.917603,-448.148804
125,1.041667,-0.329594,-0.448128,0.487281,-0.673131,65.383171,1238.912476,-448.147766
126,1.050000,-0.329582,-0.448161,0.487269,-0.673124,65.387695,1238.909180,-448.145966
127,1.058333,-0.329613,-0.448158,0.487272,-0.673109,65.386330,1238.910034,-448.144806
128,1.066667,-0.329605,-0.448138,0.487276,-0.673123,65.383270,1238.908447,-448.146118
129,1.075000,-0.329605,-0.448138,0.487281,-0.673119,65.385063,1238.910034,-448.145020
130,1.083333,-0.329603,-0.448138,0.487273,-0.673127,65.385323,1238.912354,-448.142731
131,1.091667,-0.329607,-0.448157,0.487268,-0.673115,65.386024,1238.909424,-448.142670
132,1.100000,-0.329617,-0.448129,0.487279,-0.673122,65.384804,1238.907593,-448.142029
133,1.108333,-0.329630,-0.448144,0.487277,-0.673107,65.386208,1238.907227,-448.140289
134,1.116667,-0.329615,-0.448139,0.487274,-0.673119,65.383293,1238.906250,-448.140900
135,1.125000,-0.329614,-0.448126,0.487274,-0.673129,65.385269,1238.908081,-448.140869
136,1.133333,-0.329625,-0.448118,0.487282,-0.673123,65.384239,1238.911011,-448.139832
137,1.141667,-0.329629,-0.448122,0.487258,-0.673135,65.381409,1238.906982,-448.138672
138,1.150000,-0.329607,-0.448128,0.487269,-0.673134,65.381310,1238.902710,-448.138885
139,1.158333,-0.329621,-0.448115,0.487274,-0.673132,65.381454,1238.903931,-448.139801
140,1.166667,-0.329634,-0.448132,0.487266,-0.673121,65.382904,1238.907471,-448.138916
141,1.175000,-0.329625,-0.448115,0.487268,-0.673135,65.382332,1238.907471,-448.141968
142,1.183333,-0.329611,-0.448116,0.487276,-0.673135,65.380318,1238.903931,-448.140961
143,1.191667,-0.329612,-0.448141,0.487267,-0.673124,65.384163,1238.904053,-448.139832
144,1.200000,-0.329610,-0.448148,0.487269,-0.673120,65.384079,1238.906372,-448.139832
145,1.208333,-0.329609,-0.448143,0.487278,-0.673116,65.384064,1238.902344,-448.142731
146,1.216667,-0.329610,-0.448122,0.487268,-0.673137,65.388016,1238.907349,-448.143066
147,1.225000,-0.329603,-0.448127,0.487276,-0.673132,65.383865,1238.908569,-448.143066
148,1.233333,-0.329591,-0.448130,0.487278,-0.673134,65.385193,1238.907593,-448.143250
149,1.241667,-0.329593,-0.448132,0.487276,-0.673133,65.387772,1238.909424,-448.144653
150,1.250000,-0.329603,-0.448143,0.487269,-0.673127,65.386429,1238.909302,-448.147980
151,1.258333,-0.329585,-0.448145,0.487277,-0.673128,65.388374,1238.908936,-448.147034
152,1.266667,-0.329602,-0.448144,0.487272,-0.673124,65.388351,1238.912476,-448.148529
153,1.275000,-0.329589,-0.448143,0.487284,-0.673122,65.385208,1238.912964,-448.148590
154,1.283333,-0.329832,-0.448444,0.487608,-0.672568,65.290390,1238.924805,-448.157715
155,1.291667,-0.329600,-0.448140,0.487284,-0.673119,65.384430,1238.912231,-448.149841
156,1.300000,-0.329865,-0.448490,0.487576,-0.672544,65.291130,1238.927856,-448.159241
157,1.308333,-0.329845,-0.448474,0.487595,-0.672550,65.294212,1238.928711,-448.160065
158,1.316667,-0.329841,-0.448483,0.487591,-0.672550,65.290749,1238.925415,-448.159973
159,1.325000,-0.329587,-0.448155,0.487280,-0.673118,65.386292,1238.915527,-448.153473
160,1.333333,-0.329858,-0.448471,0.487598,-0.672545,65.292336,1238.928467,-448.160370
161,1.341667,-0.329855,-0.448472,0.487598,-0.672545,65.289131,1238.927368,-448.160431
162,1.350000,-0.329584,-0.448157,0.487274,-0.673122,65.386612,1238.913086,-448.153137
